Integer Label,Text Label,Anatomic Region,Anatomic Region Modifier,Primary Anatomic Structure,Primary Anatomic Structure Modifier,Segmented Property Category -- CID 7150++,Segmented Property Type,DICOM Context Group for Anatomic Region or Segmented Property Type,Segmented Property Type Modifier,Color,Notes,
299,        region 7  ,        , , , , , ,, ," rgb(137,142,0)  ",        ,
300,        region 8  ,        , , , , , ,, ," rgb(230,70,0)  ",        ,
301,        region 9  ,        , , , , , ,, ," rgb(0,147,0)  ",        ,
302,        region 10  ,        , , , , , ,, ," rgb(0,147,248)  ",        ,
303,        region 11  ,        , , , , , ,, ," rgb(231,0,206)  ",        ,
304,        region 12  ,        , , , , , ,, ," rgb(129,78,0)  ",        ,
305,        region 13  ,        , , , , , ,, ," rgb(0,116,0)  ",        ,
306,        region 14  ,        , , , , , ,, ," rgb(0,0,255)  ",        ,
307,        region 15  ,        , , , , , ,, ," rgb(157,0,0)  ",        ,
308,        unknown  ,        , , , , , ,, ," rgb(100,100,130)  ",        ,
309,        cyst  ,        , , , ," (M-01000,SRT,""Morphologically Altered Structure"") ","        (M-3340A,SRT,""Cyst"")",7159,        ," rgb(205,205,100)  ",        ,
